name	size	covered	covered_truth	sum	sum_truth	mean0	mean0_truth	mean	mean_truth	rel_err_mean0	rel_err_mean	verdict
peak1_400bp	400	400	400	5415.4700	5415.4700	13.538700	13.538675	13.538700	13.538675	1.85e-06	1.85e-06	PASS
peak4_400bp	400	400	400	40496.6000	40496.5500	101.241000	101.241375	101.241000	101.241375	3.70e-06	3.70e-06	PASS
peak5_400bp	400	400	400	80604.5000	80604.4600	201.511000	201.511150	201.511000	201.511150	7.44e-07	7.44e-07	PASS
bg_50kb	50000	50000	50000	49955.2000	49955.2500	0.999105	0.999105	0.999105	0.999105	0.00e+00	0.00e+00	PASS
wide_1Mb_peak5	1000000	1000000	1000000	1140700.0000	1140698.3900	1.140700	1.140698	1.140700	1.140698	1.75e-06	1.75e-06	PASS
sparse_20kb_peak6	20000	4000	4000	12035.5000	12035.5400	0.601777	0.601777	3.008890	3.008885	0.00e+00	1.66e-06	PASS
gap_50kb	50000	0	0	0.0000	0.0000	0.000000	0.000000	0.000000	NA	0.00e+00	0.00e+00	PASS
