level	tool	reads_in	reads_out	reads_dropped	truth_adapter_reads	adapter_hit_reads	recall_pct	false_clip_reads	truth_adapter_bases	bases_removed	bases_removed_pct	bases_removed_per_read
5p	cutadapt	40000	39998	2	2050	2016	98.34	825	39402	41976	1.0494	1.049
5p	trimmomatic_skill	40000	38975	1025	1025	1025	100.00	0	19701	122201	3.0550	3.055
5p	trimmomatic_true	40000	40000	0	2050	2050	100.00	0	39402	39402	0.9850	0.985
20p	cutadapt	40000	39998	2	8058	7923	98.32	646	153854	154698	3.8674	3.867
20p	trimmomatic_skill	40000	35971	4029	4029	4029	100.00	0	76927	479827	11.9957	11.996
20p	trimmomatic_true	40000	40000	0	8058	8058	100.00	0	153854	153854	3.8464	3.846
40p	cutadapt	40000	40000	0	16190	15938	98.44	456	309810	308533	7.7133	7.713
40p	trimmomatic_skill	40000	31905	8095	8095	8095	100.00	0	154905	964405	24.1101	24.110
40p	trimmomatic_true	40000	40000	0	16190	16190	100.00	0	309810	309810	7.7453	7.745
